"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","07-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1095.75","0","0","0","0","0","8266.45"
"NIFTY","08-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1074.5","0","0","0","0","0","8273.05"
"NIFTY","09-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1119.3","0","0","0","0","0","8203.6"
"NIFTY","10-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1128.25","0","0","0","0","0","8170.05"
"NIFTY","13-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1166.5","0","0","0","0","0","8110.6"
"NIFTY","14-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1146.15","0","0","0","0","0","8108.85"
"NIFTY","15-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1103.5","0","0","0","0","0","8206.6"
"NIFTY","16-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1147.95","0","0","0","0","0","8140.75"
"NIFTY","17-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1113.3","0","0","0","0","0","8170.2"
"NIFTY","20-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1073.6","0","0","0","0","0","8238.5"
"NIFTY","21-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1070","0","0","0","0","0","8219.9"
"NIFTY","22-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1071.6","0","0","0","0","0","8203.7"
"NIFTY","23-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1033","0","0","0","0","0","8270.45"
"NIFTY","24-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1263.7","0","0","0","0","0","8088.6"
"NIFTY","27-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1243.3","0","0","0","0","0","8094.7"
"NIFTY","28-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1203.35","0","0","0","0","0","8127.85"
"NIFTY","29-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1157.1","0","0","0","0","0","8204"
"NIFTY","30-Jun-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1111.05","0","0","0","0","0","8287.75"
"NIFTY","01-Jul-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1075","0","0","0","0","0","8328.35"
"NIFTY","04-Jul-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1042.75","0","0","0","0","0","8370.7"
"NIFTY","05-Jul-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1053","0","0","0","0","0","8335.95"
"NIFTY","07-Jul-2016","28-Dec-2017","PE","10000","1200","1200","1180","1180","1180","1180","3","25.19","2.69","225","225","8337.9"
"NIFTY","08-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","1028.8","0","0","0","225","0","8323.2"
"NIFTY","11-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","1010.1","0","0","0","225","0","8467.9"
"NIFTY","12-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","971.8","0","0","0","225","0","8521.05"
"NIFTY","13-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","953.1","0","0","0","225","0","8519.5"
"NIFTY","14-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","917.65","0","0","0","225","0","8565"
"NIFTY","15-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","915.4","0","0","0","225","0","8541.4"
"NIFTY","18-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","920.85","0","0","0","225","0","8508.7"
"NIFTY","19-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","891.6","0","0","0","225","0","8528.55"
"NIFTY","20-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","860.15","0","0","0","225","0","8565.85"
"NIFTY","21-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","892.95","0","0","0","225","0","8510.1"
"NIFTY","22-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","860.35","0","0","0","225","0","8541.2"
"NIFTY","25-Jul-2016","28-Dec-2017","PE","10000","0","0","0","1180","1180","827.45","0","0","0","225","0","8635.65"
